,id,year,Dept,treatment,profit,size,wageindex
1,110003,2003,M5,0,4926,164,0.675813843
2,110003,2004,M5,0,5194,141,0.820107044
3,110003,2005,M5,0,5347,152,1.19443358
4,110003,2006,M5,0,5502,152,0.632702628
5,110003,2007,M5,0,5814,126,0.932007355
6,110003,2008,M5,0,6051,121,1.232193907
7,110003,2009,M5,0,5587,121,0.722580009
8,110003,2010,M5,0,5257,113,1.242495296
9,110003,2011,M5,0,6063,124,1.092913433
10,110003,2012,M5,0,6633,124,0.657019391
11,110003,2013,M5,0,5776,124,1.281685083
12,110003,2014,M5,0,5995,142,1.02739134
13,110003,2015,M5,0,5906,142,1.330734338
14,110003,2016,M5,0,5791,142,0.402702008
15,110003,2017,M5,0,5630,142,1.454810531
16,110173,2003,M5,0,3428,117,0.833519108
17,110173,2004,M5,0,3105,117,0.833788314
18,110173,2005,M5,0,3552,105,1.196875731
19,110173,2006,M5,0,3080,105,1.121172352
20,110173,2007,M5,0,2665,105,0.989867235
21,110173,2008,M5,0,2639,105,0.891121779
22,110173,2009,M5,0,3356,105,0.699564628
23,110173,2010,M5,0,2886,105,0.688234281
24,110173,2011,M5,0,2743,105,0.979507034
25,110173,2012,M5,0,2443,105,1.30320055
26,110173,2013,M5,0,2249,105,1.626620808
27,110173,2014,M5,0,2311,105,1.44543003
28,110173,2015,M5,0,2107,105,0.753815633
29,110173,2016,M5,0,2040,105,0.582252183
30,110173,2017,M5,0,1969,105,1.504639054
31,110200,2003,M5,0,3361,115,0.768204843
32,110200,2004,M5,0,3152,115,1.000511571
33,110200,2005,M5,0,3339,105,0.614811066
34,110200,2006,M5,0,3245,105,0.82312776
35,110200,2007,M5,0,3128,99,0.82221379
36,110200,2008,M5,0,2897,99,0.541365295
37,110200,2009,M5,0,2794,99,0.559140466
38,110200,2010,M5,0,2912,99,1.043028736
39,110200,2011,M5,0,2821,99,0.904892214
40,110200,2012,M5,0,2719,99,0.503738421
41,110200,2013,M5,0,2784,99,0.622181236
42,110200,2014,M5,0,2606,99,0.522449944
43,110200,2015,M5,0,2629,99,0.900944153
